agent,pr_id,pr_number,repo_url,pr_url,issue_url,issue_number,created_at
Human,2271860607,76717,https://github.com/dotnet/roslyn,https://github.com/dotnet/roslyn/pull/76717,https://github.com/dotnet/roslyn/issues/76782,76782,2025-01-16T12:11:23Z
Human,2271860607,76717,https://github.com/dotnet/roslyn,https://github.com/dotnet/roslyn/pull/76717,https://github.com/dotnet/roslyn/issues/76804,76804,2025-01-18T00:19:17Z
Human,2271860607,76717,https://github.com/dotnet/roslyn,https://github.com/dotnet/roslyn/pull/76717,https://github.com/dotnet/roslyn/issues/76811,76811,2025-01-18T12:13:04Z
Human,2271860607,76717,https://github.com/dotnet/roslyn,https://github.com/dotnet/roslyn/pull/76717,https://github.com/dotnet/roslyn/issues/76874,76874,2025-01-23T00:10:36Z
Human,2271860607,76717,https://github.com/dotnet/roslyn,https://github.com/dotnet/roslyn/pull/76717,https://github.com/dotnet/roslyn/issues/76926,76926,2025-01-25T12:11:11Z
Human,2612531872,403,https://github.com/antiwork/flexile,https://github.com/antiwork/flexile/pull/403,https://github.com/antiwork/flexile/issues/405,405,2025-06-25T02:45:56Z
Human,2502348618,2300,https://github.com/Skyvern-AI/skyvern,https://github.com/Skyvern-AI/skyvern/pull/2300,https://github.com/Skyvern-AI/skyvern/issues/2296,2296,2025-05-06T19:25:45Z
Human,2531831858,6277,https://github.com/duplicati/duplicati,https://github.com/duplicati/duplicati/pull/6277,https://github.com/duplicati/duplicati/issues/6317,6317,2025-05-31T23:19:09Z
Human,2427728008,652,https://github.com/imfing/hextra,https://github.com/imfing/hextra/pull/652,https://github.com/imfing/hextra/issues/620,620,2025-03-30T20:55:32Z
Human,2499459830,301,https://github.com/seasonedcc/remix-forms,https://github.com/seasonedcc/remix-forms/pull/301,https://github.com/seasonedcc/remix-forms/issues/300,300,2025-05-05T18:29:21Z
Human,2347362955,1164,https://github.com/elixir-lsp/elixir-ls,https://github.com/elixir-lsp/elixir-ls/pull/1164,https://github.com/elixir-lsp/vscode-elixir-ls/issues/455,455,2025-03-20T10:28:54Z
Human,2327381029,973,https://github.com/thefrontside/effection,https://github.com/thefrontside/effection/pull/973,https://github.com/thefrontside/effection/issues/972,972,2025-02-27T13:55:00Z
Human,2367908190,1155,https://github.com/jina-ai/reader,https://github.com/jina-ai/reader/pull/1155,https://github.com/transitive-bullshit/agentic/issues/692,692,2025-03-04T12:20:55Z
Human,2374159047,4891,https://github.com/skypilot-org/skypilot,https://github.com/skypilot-org/skypilot/pull/4891,https://github.com/skypilot-org/skypilot/issues/4890,4890,2025-03-06T20:15:34Z
Human,2453255068,98,https://github.com/antiwork/flexile,https://github.com/antiwork/flexile/pull/98,https://github.com/antiwork/flexile/issues/18,18,2025-04-12T04:43:35Z
