id,number,title,user,user_id,state,created_at,closed_at,merged_at,repo_url,html_url,body
3163308250,79,Doc: add hint for setup with Vite,sebastianwessel,6763983,closed,2025-06-20T13:14:04Z,2025-06-20T13:15:09Z,2025-06-20T13:15:09Z,https://api.github.com/repos/sebastianwessel/quickjs,https://github.com/sebastianwessel/quickjs/pull/79,"## Summary
- remove the link to Issue #73 from the Vite documentation snippet

## Testing
- `npm test` *(fails to find module declarations)*

------
https://chatgpt.com/codex/tasks/task_e_68555b95d8848328bbd9ce70c4d39f3f"
3094662514,791,Explain CAS back-off in UniqueMicroTimeProvider,peter-lawrey,1070321,closed,2025-05-27T17:28:14Z,2025-05-27T17:29:51Z,2025-05-27T17:29:51Z,https://api.github.com/repos/OpenHFT/Chronicle-Core,https://github.com/OpenHFT/Chronicle-Core/pull/791,"## Summary
- mention CAS back-off loop in `UniqueMicroTimeProvider`
- link to the ""Unique IDs at 10 M/s"" white paper

## Testing
- `mvn -q verify` *(fails: mvn not found)*"
3094755571,1460,[AI] Enable tool calls in session chats,HamadaSalhab,31417987,closed,2025-05-27T18:07:20Z,2025-05-27T18:07:49Z,,https://api.github.com/repos/julep-ai/julep,https://github.com/julep-ai/julep/pull/1460,"## Summary
- support tool execution in session chats
- format tools consistently and return them from render step
- loop over tool calls and execute them via session handlers

## Testing
- `poetry run poe lint`
- `poetry run poe typecheck` *(fails: KeyboardInterrupt)*
- `poetry run poe test` *(fails: ModuleNotFoundError)*"
3114771710,13261,Bliink bid adapter: fix intermittent test failure,patmmccann,1683175,closed,2025-06-03T17:05:00Z,2025-06-03T18:49:41Z,2025-06-03T18:49:41Z,https://api.github.com/repos/prebid/Prebid.js,https://github.com/prebid/Prebid.js/pull/13261,"improved stubbing behavior on getConfig

fixes cascade of 10 or so failures whenever it fails, eg https://app.circleci.com/pipelines/github/prebid/Prebid.js/26225/workflows/3e45f66c-40d5-494c-89f8-2218352d5da0/jobs/45934"
3114802893,8318,Fix BaseType annotation parsing,okhat,963532,closed,2025-06-03T17:16:18Z,2025-06-03T17:26:33Z,2025-06-03T17:26:33Z,https://api.github.com/repos/stanfordnlp/dspy,https://github.com/stanfordnlp/dspy/pull/8318,"## Summary
- handle weird typing objects in `BaseType.extract_custom_type_from_annotation`

## Testing
- `ruff format dspy/adapters/types/base_type.py`
- `ruff check dspy/adapters/types/base_type.py`
- `pytest -q` *(fails: ModuleNotFoundError: No module named 'datamodel_code_generator')*

------
https://chatgpt.com/codex/tasks/task_e_683f2b47c75c8329b9ec5a7f441c7e2a"
3114897844,13262,kargo and bliink bid adapter: remaining intermittent test failure on safari,patmmccann,1683175,closed,2025-06-03T17:52:02Z,2025-06-04T15:33:10Z,2025-06-04T15:33:10Z,https://api.github.com/repos/prebid/Prebid.js,https://github.com/prebid/Prebid.js/pull/13262,related pr #13243 ; test still fails on occasion after merge
3135395580,155658,Fix cudagraph record_stream memory leak,ezyang,13564,open,2025-06-11T03:56:27Z,,,https://api.github.com/repos/pytorch/pytorch,https://github.com/pytorch/pytorch/pull/155658,"## Summary
- process pending events when ending allocation to a pool
- test record_stream doesn't leak during capture

## Testing
- `python test/test_cuda.py -k test_graph_record_stream_no_leak -vv` *(fails: ModuleNotFoundError: No module named 'psutil')*

------
https://chatgpt.com/codex/tasks/task_e_68483c71a96483238645dff24692b5ea"
3121676267,196,Add DAP breakpoint handling,pxor,68468634,closed,2025-06-05T15:24:49Z,2025-06-05T16:00:45Z,2025-06-05T16:00:45Z,https://api.github.com/repos/metacraft-labs/codetracer,https://github.com/metacraft-labs/codetracer/pull/196,"## Summary
- support `setBreakpoints` in the db-backend DAP server
- add types for breakpoints to the DAP module
- test setBreakpoints roundtrip
- document the new feature in `codebase-insights.txt`
- merge breakpoint test into existing session tests"
3145510800,5697,Document runtime interface with Doxygen,rgerhards,1482123,closed,2025-06-14T06:08:44Z,2025-06-14T06:15:55Z,2025-06-14T06:15:55Z,https://api.github.com/repos/rsyslog/rsyslog,https://github.com/rsyslog/rsyslog/pull/5697,"## Summary
- apply file header doxygen comment to `rsyslog.h`
- add doxygen docs for enums, structs and API prototypes
- clarify global variables

## Testing
- `devtools/check-codestyle.sh runtime/rsyslog.h`
- `gcc -c /tmp/test.c -o /tmp/test.o`
- `make -j4 check TESTS=tests/mmutf8fix_no_error.sh` *(fails: fatal: making test-suite.log: failed to create)*

------
https://chatgpt.com/codex/tasks/task_e_684d0e9dcfd08332835ac26db9a382d7"
3098333977,5787,Fix GCP fetcher typo,Michaelvll,6753189,closed,2025-05-28T19:18:32Z,2025-05-28T19:30:12Z,2025-05-28T19:30:12Z,https://api.github.com/repos/skypilot-org/skypilot,https://github.com/skypilot-org/skypilot/pull/5787,"## Summary
- fix variable name `SERIES_TO_DESCRIPTION`

## Testing
- `bash format.sh` *(fails: yapf not installed)*
- `pytest --collect-only` *(fails: Missing required plugins pytest-env>=0.6, pytest-xdist)*"
