pr_id,id,user,state,submitted_at,body
3119415087,2898385520,ellipsis-dev[bot],COMMENTED,2025-06-04T23:55:46Z,"> [!CAUTION]
> **Changes requested  :x:**
> <details>
> <summary>Reviewed everything up to f099c4127e54996c5333e9621957231f944a0946 in <ellipsistime>1 minute and 7 seconds</ellipsistime>. Click for details.</summary> 
> 
> - Reviewed `19` lines of code in `1` files
> - Skipped `0` files when reviewing.
> - Skipped posting `2` draft comments. View those below.
> - Modify your [settings](https://app.ellipsis.dev/onlook-dev/settings/code-review) and [rules](https://app.ellipsis.dev/onlook-dev/code-review/rules) to customize what types of comments Ellipsis leaves. And don't forget to react with :+1: or :-1: to teach Ellipsis.
> 
> <details>
> <summary>1. <code>packages/ai/test/apply.test.ts:8</code></summary>
> 
> - **Draft comment:** 
> Using a dynamic 'run' to conditionally skip tests is good. Ensure that the test behavior aligns with available API keys.
> - **Reason this comment was not posted:**
> Confidence changes required: `20%` <= threshold `50%` None
> 
> 
> </details>
> 
> <details>
> <summary>2. <code>packages/ai/test/apply.test.ts:5</code></summary>
> 
> - **Draft comment:** 
> Possible typo: 'RELACE_API_KEY' might be intended as 'REPLACE_API_KEY'. Please check that the environment variable name is correct.
> - **Reason this comment was not posted:**
> Decided after close inspection that this draft comment was likely wrong and/or not actionable: usefulness confidence = 20% vs. threshold = 50% While RELACE does look like it could be a typo of REPLACE, I have no strong evidence that this is actually incorrect. This could be an intentional API key name for a service called ""Relace"". Without access to the rest of the codebase or documentation, I cannot be certain this is a typo. Making assumptions about API key names without context could lead to incorrect changes. The comment could be correct - RELACE does look unusual and REPLACE would make more sense semantically. The author might appreciate having this potential typo caught. However, we must follow the principle that we need STRONG EVIDENCE to keep a comment. Making assumptions about API key names without context could cause confusion or unnecessary changes. Delete the comment. Without clear evidence that RELACE_API_KEY is incorrect, suggesting a rename could be misleading or harmful.
> 
> 
> </details>
> 
> 
> Workflow ID: <workflowid>`wflow_PsQmAxG0hSb4zGTm`</workflowid>
> </details>
> 
> <sup>You can customize </sup>[<img alt=""Ellipsis"" src=""https://img.shields.io/badge/Ellipsis-blue?color=175173"">](https://www.ellipsis.dev?ref=onlook-dev%2Fonlook&utm_source=github&utm_medium=referral)<sup> by changing your [verbosity settings](https://app.ellipsis.dev/onlook-dev/settings/code-review), reacting with :+1: or :-1:, [replying to comments](https://docs.ellipsis.dev/features/code-review#teaching-ellipsis), or adding [code review rules](https://app.ellipsis.dev/onlook-dev/code-review/rules).</sup>"
3092262299,2869283193,ellipsis-dev[bot],COMMENTED,2025-05-27T00:42:09Z,"> [!IMPORTANT]
> **Looks good to me!  :+1:**
> <details>
> <summary>Reviewed 325605e7cf8b2d0be395673323fb4854bb1beda6 in <ellipsistime>41 seconds</ellipsistime>. Click for details.</summary> 
> 
> - Reviewed `151` lines of code in `4` files
> - Skipped `0` files when reviewing.
> - Skipped posting `1` draft comments. View those below.
> - Modify your [settings](https://app.ellipsis.dev/Skyvern-AI/settings/code-review) and [rules](https://app.ellipsis.dev/Skyvern-AI/code-review/rules) to customize what types of comments Ellipsis leaves. And don't forget to react with :+1: or :-1: to teach Ellipsis.
> 
> <details>
> <summary>1. <code>skyvern/forge/sdk/routes/credentials.py:72</code></summary>
> 
> - **Draft comment:** 
> The updated TOTP code parsing now always invokes parse_totp_code(data.content) and removes the conditional handling (i.e. using the content directly when its length ≤10) along with the logging of parse failures. Please confirm that this is intended. This change may lead to unnecessary LLM calls when a short, direct code is provided, and the removal of logging could hinder debugging if parsing fails.
> - **Reason this comment was not posted:**
> Comment did not seem useful. Confidence is useful = `30%` <= threshold `50%` The comment is asking the PR author to confirm their intention regarding the change in TOTP code parsing. It highlights a potential issue with unnecessary LLM calls and the removal of logging, which could hinder debugging. However, it violates the rule against asking the author to confirm their intention. The comment could be rephrased to suggest a specific change or improvement without asking for confirmation.
> 
> 
> </details>
> 
> 
> Workflow ID: <workflowid>`wflow_ROWIWPjSafAa1lTW`</workflowid>
> </details>
> 
> <sup>You can customize </sup>[<img alt=""Ellipsis"" src=""https://img.shields.io/badge/Ellipsis-blue?color=175173"">](https://www.ellipsis.dev?ref=Skyvern-AI%2Fskyvern&utm_source=github&utm_medium=referral)<sup> by changing your [verbosity settings](https://app.ellipsis.dev/Skyvern-AI/settings/code-review), reacting with :+1: or :-1:, [replying to comments](https://docs.ellipsis.dev/features/code-review#teaching-ellipsis), or adding [code review rules](https://app.ellipsis.dev/Skyvern-AI/code-review/rules).</sup>"
3092262299,2869283473,ellipsis-dev[bot],COMMENTED,2025-05-27T00:42:37Z,"> [!IMPORTANT]
> **Looks good to me!  :+1:**
> <details>
> <summary>Reviewed everything up to 325605e7cf8b2d0be395673323fb4854bb1beda6 in <ellipsistime>1 minute and 7 seconds</ellipsistime>. Click for details.</summary> 
> 
> - Reviewed `151` lines of code in `4` files
> - Skipped `0` files when reviewing.
> - Skipped posting `4` draft comments. View those below.
> - Modify your [settings](https://app.ellipsis.dev/Skyvern-AI/settings/code-review) and [rules](https://app.ellipsis.dev/Skyvern-AI/code-review/rules) to customize what types of comments Ellipsis leaves. And don't forget to react with :+1: or :-1: to teach Ellipsis.
> 
> <details>
> <summary>1. <code>skyvern/cli/init_command.py:77</code></summary>
> 
> - **Draft comment:** 
> Removed Docker Compose/Postgres container instructions. Ensure this removal is intentional and that users have alternative guidance if needed.
> - **Reason this comment was not posted:**
> Confidence changes required: `0%` <= threshold `50%` None
> 
> 
> </details>
> 
> <details>
> <summary>2. <code>skyvern/client/workflows/client.py:113</code></summary>
> 
> - **Draft comment:** 
> Docstring text updated (removed 'definition'); verify that this simplification maintains clarity for users.
> - **Reason this comment was not posted:**
> Confidence changes required: `0%` <= threshold `50%` None
> 
> 
> </details>
> 
> <details>
> <summary>3. <code>skyvern/forge/sdk/routes/agent_protocol.py:348</code></summary>
> 
> - **Draft comment:** 
> Endpoint tags and summaries have been updated (e.g. get_run now uses tags [""Agent"", ""Workflows""] and summary 'Get a run by id'). Confirm that this reorganization aligns with intended API documentation grouping.
> - **Reason this comment was not posted:**
> Confidence changes required: `0%` <= threshold `50%` None
> 
> 
> </details>
> 
> <details>
> <summary>4. <code>skyvern/forge/sdk/routes/credentials.py:72</code></summary>
> 
> - **Draft comment:** 
> Removed the conditional check on TOTP content length and direct assignment; now always calling parse_totp_code. Verify this change doesn’t break cases where a raw short code is provided.
> - **Reason this comment was not posted:**
> Comment did not seem useful. Confidence is useful = `0%` <= threshold `50%` The comment is asking the author to verify that a change doesn't break certain cases, which violates the rule against asking the author to ensure behavior is intended or tested. It doesn't provide a specific suggestion or ask for a specific test to be written.
> 
> 
> </details>
> 
> 
> Workflow ID: <workflowid>`wflow_cN3210xJnKQ8LxQh`</workflowid>
> </details>
> 
> <sup>You can customize </sup>[<img alt=""Ellipsis"" src=""https://img.shields.io/badge/Ellipsis-blue?color=175173"">](https://www.ellipsis.dev?ref=Skyvern-AI%2Fskyvern&utm_source=github&utm_medium=referral)<sup> by changing your [verbosity settings](https://app.ellipsis.dev/Skyvern-AI/settings/code-review), reacting with :+1: or :-1:, [replying to comments](https://docs.ellipsis.dev/features/code-review#teaching-ellipsis), or adding [code review rules](https://app.ellipsis.dev/Skyvern-AI/code-review/rules).</sup>"
3152475848,2934568730,ellipsis-dev[bot],COMMENTED,2025-06-17T08:03:26Z,"> [!IMPORTANT]
> **Looks good to me!  :+1:**
> <details>
> <summary>Reviewed 35fbc4ba0c65eceb17dd54becba12091f4e37585 in <ellipsistime>2 minutes and 49 seconds</ellipsistime>. Click for details.</summary> 
> 
> - Reviewed `119` lines of code in `1` files
> - Skipped `0` files when reviewing.
> - Skipped posting `5` draft comments. View those below.
> - Modify your [settings](https://app.ellipsis.dev/Skyvern-AI/settings/code-review) and [rules](https://app.ellipsis.dev/Skyvern-AI/code-review/rules) to customize what types of comments Ellipsis leaves. And don't forget to react with :+1: or :-1: to teach Ellipsis.
> 
> <details>
> <summary>1. <code>skyvern/webeye/utils/page.py:91</code></summary>
> 
> - **Draft comment:** 
> Return type updated to tuple (screenshots, positions). Ensure all dependent docs and callers are updated accordingly.
> - **Reason this comment was not posted:**
> Confidence changes required: `0%` <= threshold `50%` None
> 
> 
> </details>
> 
> <details>
> <summary>2. <code>skyvern/webeye/utils/page.py:151</code></summary>
> 
> - **Draft comment:** 
> In _merge_images_by_position, consider verifying that the 'positions' list is strictly increasing to avoid negative height adjustments.
> - **Reason this comment was not posted:**
> Decided after close inspection that this draft comment was likely wrong and/or not actionable: usefulness confidence = 0% vs. threshold = 50% Looking at _scrolling_screenshots_helper where positions are generated, they come from scroll_y_px which should naturally increase as we scroll down. The code already has checks to ensure meaningful scrolling (>25px difference). The positions list is used to handle overlaps between screenshots correctly. A decreasing position could cause issues with merged_height calculation. The comment identifies a real potential issue - negative height adjustments could cause problems. However, the scrolling logic already ensures positions increase meaningfully. While the validation could add safety, the existing scroll position checks in _scrolling_screenshots_helper already ensure positions will be increasing. The comment suggests a valid check but it's not strictly necessary given the existing safeguards in the screenshot capture logic.
> 
> 
> </details>
> 
> <details>
> <summary>3. <code>skyvern/webeye/utils/page.py:174</code></summary>
> 
> - **Draft comment:** 
> The variables 'step' and 'overlap' in the merging loop might be ambiguous. Consider renaming or adding comments for clarity.
> - **Reason this comment was not posted:**
> Confidence changes required: `33%` <= threshold `50%` None
> 
> 
> </details>
> 
> <details>
> <summary>4. <code>skyvern/webeye/utils/page.py:165</code></summary>
> 
> - **Draft comment:** 
> Ensure that the scroll step (difference in positions) does not exceed the screenshot height. Otherwise, the merged height may include unexpected blank space.
> - **Reason this comment was not posted:**
> Decided after close inspection that this draft comment was likely wrong and/or not actionable: usefulness confidence = 10% vs. threshold = 50% The current code appears correct. If step > image.height, it means there was a gap in scrolling, which should be preserved in the final image. Limiting the step to image.height would incorrectly compress the image. The code already handles overlaps correctly by cropping when needed. The comment seems to misunderstand that gaps between screenshots may be intentional. Could there be edge cases where very large scroll steps cause visual issues? What if the page has dynamic content that changes height between screenshots? The scroll steps are controlled by the browser's scrolling behavior and the page's content. If there are large gaps, they likely represent actual page content. Dynamic content issues would exist regardless of step size limits. The comment should be deleted. The current code correctly handles both overlaps and gaps between screenshots, and limiting the step size could introduce incorrect behavior.
> 
> 
> </details>
> 
> <details>
> <summary>5. <code>skyvern/webeye/utils/page.py:277</code></summary>
> 
> - **Draft comment:** 
> Usage of underscore to discard the positions in take_split_screenshots is acceptable.
> - **Reason this comment was not posted:**
> Confidence changes required: `0%` <= threshold `50%` None
> 
> 
> </details>
> 
> 
> Workflow ID: <workflowid>`wflow_twh7xynUmBfIjghN`</workflowid>
> </details>
> 
> <sup>You can customize </sup>[<img alt=""Ellipsis"" src=""https://img.shields.io/badge/Ellipsis-blue?color=175173"">](https://www.ellipsis.dev?ref=Skyvern-AI%2Fskyvern&utm_source=github&utm_medium=referral)<sup> by changing your [verbosity settings](https://app.ellipsis.dev/Skyvern-AI/settings/code-review), reacting with :+1: or :-1:, [replying to comments](https://docs.ellipsis.dev/features/code-review#teaching-ellipsis), or adding [code review rules](https://app.ellipsis.dev/Skyvern-AI/code-review/rules).</sup>"
3152475848,2934569110,ellipsis-dev[bot],COMMENTED,2025-06-17T08:03:34Z,"> [!CAUTION]
> **Changes requested  :x:**
> <details>
> <summary>Reviewed everything up to 35fbc4ba0c65eceb17dd54becba12091f4e37585 in <ellipsistime>2 minutes and 55 seconds</ellipsistime>. Click for details.</summary> 
> 
> - Reviewed `119` lines of code in `1` files
> - Skipped `0` files when reviewing.
> - Skipped posting `2` draft comments. View those below.
> - Modify your [settings](https://app.ellipsis.dev/Skyvern-AI/settings/code-review) and [rules](https://app.ellipsis.dev/Skyvern-AI/code-review/rules) to customize what types of comments Ellipsis leaves. And don't forget to react with :+1: or :-1: to teach Ellipsis.
> 
> <details>
> <summary>1. <code>skyvern/webeye/utils/page.py:112</code></summary>
> 
> - **Draft comment:** 
> Ensure that the scroll positions are always strictly increasing. If they aren’t, the computed overlaps and merged layout can be incorrect.
> - **Reason this comment was not posted:**
> Decided after close inspection that this draft comment was likely wrong and/or not actionable: usefulness confidence = 30% vs. threshold = 50% The comment raises a valid concern - if scroll positions don't increase monotonically, the image merging logic could break. The code assumes increasing positions when calculating merged_height and overlaps. However, the code already has checks to ensure scrolling is working (abs diff > 25) and the scroll_to_next_page() function likely handles proper scrolling internally. I may be overconfident in assuming the scroll_to_next_page() function guarantees forward progress. There could be edge cases where the page scrolls backwards or stays in place. While the concern is valid, adding validation here would be treating a symptom rather than the cause. If scrolling isn't working properly, that should be fixed in scroll_to_next_page(). The comment should be deleted. While it identifies a real potential issue, adding validation here would be the wrong fix - any scrolling issues should be handled within scroll_to_next_page().
> 
> 
> </details>
> 
> <details>
> <summary>2. <code>skyvern/webeye/utils/page.py:277</code></summary>
> 
> - **Draft comment:** 
> Minor: In take_split_screenshots, the unused positions value is discarded (_). This is fine, but consider documenting that the positions are intentionally ignored.
> - **Reason this comment was not posted:**
> Confidence changes required: `33%` <= threshold `50%` None
> 
> 
> </details>
> 
> 
> Workflow ID: <workflowid>`wflow_sdvtPd1O3isLc7yD`</workflowid>
> </details>
> 
> <sup>You can customize </sup>[<img alt=""Ellipsis"" src=""https://img.shields.io/badge/Ellipsis-blue?color=175173"">](https://www.ellipsis.dev?ref=Skyvern-AI%2Fskyvern&utm_source=github&utm_medium=referral)<sup> by changing your [verbosity settings](https://app.ellipsis.dev/Skyvern-AI/settings/code-review), reacting with :+1: or :-1:, [replying to comments](https://docs.ellipsis.dev/features/code-review#teaching-ellipsis), or adding [code review rules](https://app.ellipsis.dev/Skyvern-AI/code-review/rules).</sup>"
3152475848,2934571185,LawyZheng,APPROVED,2025-06-17T08:04:18Z,
3114736501,2893625482,stephanos,COMMENTED,2025-06-03T18:25:12Z,
3114736501,2893628159,stephanos,COMMENTED,2025-06-03T18:26:02Z,
3114736501,2893629290,stephanos,COMMENTED,2025-06-03T18:26:28Z,
3114736501,2893632236,stephanos,COMMENTED,2025-06-03T18:27:12Z,
